GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Number of Wells,GCCS Capacity (cfm),Passive Venting/Flaring?
,30,Saraland SLF,AL,,,,Mobile,,,,No,Public,"City of Saraland, AL","City of Saraland, AL",1969,1993,Closed,,,,,,"850,705",,"13,633",,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1004860,11821,Scottsboro Landfill,AL,,650 County Road 412,Hollywood,Jackson,35768,34.756,-85.919,No,Public,"City of Scottsboro, AL","City of Scottsboro, AL",1970,2025,Open,,97,,65,,"1,191,422",2022,"48,555",2022,Yes,Several times per year,No,0.331,Shutdown,0.229,2018,45.7,Yes,,,,15,400,No
,12,Shannon SLF,AL,,2785 Shannon Oxmoor Road,Birmingham,Jefferson,35211,33.42488,-86.85479,No,Public,"Jefferson County, AL","Jefferson County, AL",1972,1993,Closed,,,,,,"9,324,502",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1007082,5,Shelby County Highway 70 Landfill,AL,(Sheala) SLF,"4154 Highway 70
401 Landfill Road",Columbiana,Shelby,35051,33.171785,-86.687566,No,Public,"Shelby County, AL","Shelby County, AL",1997,2055,Open,89.5,35.5,60,50,"4,520,250","4,011,710",2022,"222,153",2022,No,Not used,No,1.04,Yes,0.879,2022,51,Yes,,0.879,2022,26,1100,No
,32,Shoals Solid Waste Disposal Authority (SSWDA) LF,AL,Colbert County SLF,2015 Missouri Street Highway 43 S,Tuscumbia,Colbert,35674,34.694,-87.6609,No,Public,"Shoals Solid Waste Disposal Authority, AL","Colbert County Commission, AL",1967,2020,Closed,130,60,125,100,"5,300,000","3,200,000",2009,"200,000",2009,Unknown,Not used,No,,Yes,,,20,Yes,,0.32,,54,,Unknown
1006790,7,Star Ridge Landfill,AL,Acmar Coal County SLF; Acmar Regional Landfill MSWLF,3301 Acmar Road,Moody,St. Clair,35004,33.60527,-86.51658,No,Private,WM,WM,1983,2186,Open,308,47.1,,75,"43,939,474","5,604,394",2022,"228,890",2022,Yes,Several times per year,No,2.01,Yes,1.134,2022,47.2,Yes,1,1.134,2022,82,2100,No
1006183,11581,"Stones Throw Landfill, LLC",AL,Tallassee Waste Disposal Center; Sunflower Landfill Inc.,1303 Washington Boulevard,Tallassee,Tallapoosa,36078,32.5154,-85.8311,No,Private,GFL Environmental USA Inc.,GFL Environmental USA Inc.,1982,2063,Open,124.6,45.3,,,"30,502,398","7,491,108",2022,"333,284",2022,No,Not used,No,2.488,Yes,1.941,2022,47.7,Yes,,1.941,2022,95,2100,No
1007796,2204,Three Corners Landfill,AL,,2205 County Road 6,Piedmont,Cherokee,36272,33.9962,-85.7254,No,Private,WM,WM,1998,2233,Open,,67,,,"36,281,318","5,814,411",2022,"132,798",2022,Yes,Several times per year,No,2.191,Yes,1.084,2022,50.4,Yes,,0.475,2022,77,4600,No
1007274,21,Timberlands Landfill,AL,Escambia County Environmental Corporation; Escambia SLF,22800 Highway 41,Brewton,Escambia,36426,31.2593,-87.1923,No,Private,Escambia County Environmental Corp.,"Republic Services, Inc.",1993,2081,Open,,105.6,,,"22,340,335","14,546,317",2022,"189,454",2022,No,Not used,No,6.27,Yes,1.859,2022,44.9,Yes,,1.859,2022,129,4000,No
1011271,11982,"Turkey Trot Landfill, LLC",AL,,2328 Mannish Ryan Road,Citronelle,Washington,36522,31.15848,-88.19,No,Private,GFL Environmental USA Inc.,GFL Environmental USA Inc.,2010,2124,Open,300,,,,"23,280,092","2,368,034",2022,"165,930",2022,Yes,Occasionally but not every year,No,,Yes,0.393,2022,49.7,Yes,,0.393,2022,25,2100,No
